"","SiteName","PSI","SO2","CO","O3","PM10","PM2.5","NO2","WindSpeed","WindDirec","FPMI","NOx","NO","TWD97Lon","TWD97Lat"
"1","Annan",86,1.7,0.35,65,90,44,7.2,2.6,302,9,7.32,0.15,120.2175,23.048197
"2","Banqiao",56,4.2,0.55,38,71,35,22,2.9,314,3,23.61,2.03,121.458667,25.012972
"3","Cailiao",54,2.8,0.42,36,60,23,21,2.5,298,2,23.34,2.04,121.481028,25.06895
"4","Changhua",74,2.9,0.4,NA,70,39,12,3.5,34,6,13.54,1.83,120.541519,24.066
"5","Chaozhou",90,6.5,0.56,109,113,64,14,2.8,254,7,14.16,0.54,120.561175,22.523108
"6","Chiayi",0,NA,0.51,71,134,56,NA,3.6,319,9,NA,NA,120.440833,23.462778
"7","Dali",100,1.8,0.6,63,130,45,22,2.5,320,8,25.66,3.61,120.677689,24.099611
"8","Daliao",73,39,1.29,64,113,52,48,2,237,6,51.88,4.31,120.425081,22.565747
"9","Datong",62,2.7,0.93,NA,83,32,26,NA,NA,3,37.47,11.26,121.513311,25.0632
"10","Dayuan",54,1.5,0.3,39,62,27,11,3.6,327,3,12.95,1.66,121.201811,25.060344
"11","Dongshan",56,2.4,0.3,67,40,19,11,1.4,42,2,13.93,2.75,121.792928,24.632203
"12","Douliu",86,4.2,0.47,77,114,74,9.2,2.3,336,10,11.02,1.82,120.544994,23.711853
"13","Erlin",80,3.8,0.38,57,97,26,9.8,4.5,313,4,11.44,1.63,120.409653,23.925175
"14","Fengshan",83,8.5,0.84,89,132,52,29,2.3,302,6,31.55,2.45,120.358083,22.627392
"15","Fengyuan",0,NA,NA,36,85,54,NA,2,315,8,NA,NA,120.741711,24.256586
"16","Fuxing",76,8.3,0.57,91,99,48,31,1.2,240,5,31.38,0.82,120.312017,22.608711
"17","Guanshan",37,1.2,NA,45,25,11,3.5,2.9,187,2,4.18,0.67,121.161933,23.045083
"18","Guanyin",0,1.7,0.28,NA,53,29,NA,NA,NA,NA,NA,NA,121.082761,25.035503
"19","Guting",54,2.6,0.51,37,64,26,24,1.8,315,2,27.51,3.26,121.529556,25.020608
"20","Hengchun",42,1.1,0.2,51,42,11,1.7,4.1,75,1,4.01,2.33,120.788928,21.958069
"21","Hsinchu",56,1.5,0.35,51,61,20,9.6,1.6,67,3,14.93,5.36,120.972075,24.805619
"22","Hualien",38,1.5,0.28,46,40,16,3.8,2.8,154,2,5.39,1.58,121.599769,23.971306
"23","Hukou",56,2.3,0.25,50,63,26,8.7,3.4,39,3,10.14,1.41,121.038653,24.900142
"24","Keelung",40,4.6,0.3,41,42,20,14,0.9,57,2,16.05,2.32,121.760056,25.129167
"25","Kinmen",80,5.2,0.39,32,135,42,18,2,310,3,20.81,2.41,118.312256,24.432133
"26","Linkou",50,1.3,0.24,53,29,18,4.7,2.7,316,2,5.22,0.57,121.376869,25.077197
"27","Linyuan",82,12,0.32,98,56,44,11,2.8,267,5,12.43,1.04,120.41175,22.4795
"28","Longtan",0,1.8,0.46,37,114,26,NA,NA,NA,NA,NA,NA,121.21635,24.863869
"29","Lunbei",85,1.6,0.35,64,109,49,8,3.5,33,7,8.5,0.46,120.348742,23.757547
"30","Magong",67,1.1,0.32,56,65,30,3.3,3.7,68,3,3.97,0.64,119.566158,23.569031
"31","Mailiao",80,2.1,0.33,64,98,43,5.4,4.6,72,5,7.24,1.85,120.251825,23.753506
"32","Matsu",35,1.6,0.31,42,21,14,7,1.3,58,2,8.55,1.6,119.949875,26.160469
"33","Meinong",70,3.8,0.42,84,60,37,7.4,1.1,138,4,8.61,1.19,120.530542,22.883583
"34","Miaoli",68,1.2,0.37,47,79,39,11,1.9,57,5,12.63,1.49,120.8202,24.565269
"35","Nantou",88,1.5,0.57,72,127,66,16,1.9,30,9,17.37,1.76,120.685306,23.913
"36","Nanzi",82,4.6,0.51,99,114,51,12,2.8,279,5,14.11,2.28,120.328289,22.733667
"37","Pingtung",92,10,0.68,111,99,53,21,1.8,181,6,22.52,1.39,120.488033,22.673081
"38","Pingzhen",54,3,0.3,37,56,30,12,2,33,3,13.45,1.6,121.203986,24.952786
"39","Puli",75,1.9,0.56,90,79,55,14,3.2,119,4,15.63,1.16,120.967903,23.968842
"40","Puzi",96,4.2,0.41,68,134,59,12,2.3,45,9,12.76,1.14,120.24735,23.465308
"41","Qianjin",91,6.4,0.57,110,108,41,14,2.5,340,5,14.47,0.68,120.288086,22.632567
"42","Qianzhen",69,8,0.51,NA,85,45,NA,2.3,294,4,NA,NA,120.307564,22.605386
"43","Qiaotou",76,6,0.52,82,97,39,20,3.2,296,5,22.39,2.2,120.305689,22.757506
"44","Renwu",82,4.9,0.54,98,105,42,21,2.2,290,5,22.4,1.6,120.332631,22.689056
"45","Sanchong",63,3.3,1.89,NA,84,30,52,NA,NA,3,148.43,96.63,121.493806,25.072611
"46","Sanyi",68,NA,NA,38,NA,NA,NA,3.4,31,4,NA,NA,120.758833,24.382942
"47","Shalu",66,-0.5,0.32,51,71,30,13,3.6,2.2,3,15.86,3.36,120.568794,24.225628
"48","Shanhua",82,3.3,0.38,73,112,50,8.9,2.4,304,8,10.35,1.41,120.297142,23.115097
"49","Shilin",46,1.7,0.32,45,55,20,12,2.2,290,2,13.2,1.22,121.515389,25.105417
"50","Songshan",51,NA,NA,35,63,39,NA,2.6,294,2,NA,NA,121.578611,25.05
"51","Tainan",84,2.6,0.5,72,90,43,12,1.9,302,9,13.23,1.4,120.202617,22.984581
"52","Taitung",35,1.3,0.47,42,29,10,6.6,1.6,218,2,9.01,2.45,121.15045,22.755358
"53","Taixi",72,2.7,0.33,65,NA,41,6.8,5.9,23,4,8.01,1.18,120.202842,23.717533
"54","Tamsui",43,1.5,0.33,41,53,22,9.9,NA,NA,2,11.15,1.27,121.449239,25.1645
"55","Taoyuan",52,2.7,0.43,37,61,20,21,0.8,303,2,24.38,3.3,121.319964,24.994789
"56","Toufen",0,0.4,0.37,49,71,24,11,2.5,313,NA,11.54,1.03,120.898572,24.696969
"57","Tucheng",57,4,0.43,36,75,31,24,2.2,308,3,28.14,3.93,121.451861,24.982528
"58","Wanhua",50,2.8,0.57,32,59,28,27,2.2,280,2,31.82,5.1,121.507972,25.046503
"59","Wanli",54,3.4,0.28,46,71,18,9.8,3.2,37,2,12.67,2.87,121.689881,25.179667
"60","Xianxi",64,3.3,0.33,55,80,38,9.7,4.3,120,4,11.02,1.32,120.469061,24.131672
"61","Xiaogang",75,16,0.44,68,88,40,29,3.3,281,6,32.49,3.21,120.337736,22.565833
"62","Xindian",53,5.7,0.47,26,84,36,30,4,290,3,34.52,4.25,121.537778,24.977222
"63","Xingang",95,7.4,0.45,65,137,63,8.9,3.1,312,9,10.79,1.88,120.345531,23.554839
"64","Xinying",94,3.5,0.42,67,114,31,11,2.3,308,8,12.45,1.59,120.31725,23.305633
"65","Xinzhuang",55,1.6,0.42,33,60,27,24,4.4,21,3,28.57,4.6,121.4325,25.037972
"66","Xitun",76,2.1,0.37,53,92,44,19,3.1,308,6,20.92,2.37,120.616917,24.162197
"67","Xizhi",52,4.9,0.5,38,71,28,27,2.2,255,2,31.32,4.32,121.6423,25.067131
"68","Yangming",34,3.1,0.38,41,NA,NA,12,NA,NA,2,13.04,1.37,121.529583,25.182722
"69","Yilan",48,2.1,0.3,58,41,11,5.4,2,131,2,6.14,0.76,121.746394,24.747917
"70","Yonghe",54,3,1.04,19,66,33,40,1.5,357,3,71.79,31.53,121.516306,25.017
"71","Zhongli",60,1.7,0.65,37,72,30,22,1.1,84,3,31.13,9.48,121.221667,24.953278
"72","Zhongming",80,1.1,0.41,54,95,40,17,2.7,33,5,19.75,2.88,120.641092,24.151958
